도로구분,노선명,주소,구간,차도등,보행등,지하차도등,지하보도등,관리기관명,데이터기준일자
시도,청계천로,서울특별시 동대문구 청계천로,난계로~신답철교,70,50,,,서울특별시청,2024-01-01
시도,왕산로,서울특별시 동대문구 왕산로,신설동R~시조사,404,200,,,서울특별시청,2024-01-01
시도,천호대로,서울특별시 동대문구 천호대로,신설동R~군자교,267,216,,,서울특별시청,2024-01-01
시도,고산자로,서울특별시 동대문구 고산자로,고산자교~고려대역,161,105,,,서울특별시청,2024-01-01
시도,망우로,서울특별시 동대문구 망우로,시조사~중랑교,158,85,,,서울특별시청,2024-01-01
시도,난계로,서울특별시 동대문구 난계로,황학교~대광중고앞,21,17,,,서울특별시청,2024-01-01
시도,제기로,서울특별시 동대문구 제기로,고대앞~떡전교사거리,142,101,,,서울특별시청,2024-01-01
시도,전농로,서울특별시 동대문구 전농로,떡전교사거리~답십리역,209,152,,,서울특별시청,2024-01-01
시도,서울시립대로,서울특별시 동대문구 서울시립대로,청계한신R~시립대앞R,138,95,,,서울특별시청,2024-01-01
시도,한천로,서울특별시 동대문구 한천로,도시철도공사R~코롱A앞,369,232,,,서울특별시청,2024-01-01
시도,사가정로,서울특별시 동대문구 사가정로,신답역R~장안교,234,178,,,서울특별시청,2024-01-01
시도,이문로,서울특별시 동대문구 이문로,시조사~이문로54길,163,97,,,서울특별시청,2024-01-01
시도,무학로,서울특별시 동대문구 무학로,무학교~안암오거리,98,75,,,서울특별시청,2024-01-01
시도,회기로,서울특별시 동대문구 회기로,고려대~회기역,132,103,,,서울특별시청,2024-01-01
시도,답십리로,서울특별시 동대문구 답십리로,청량리청과물시장~장평교,228,179,,,서울특별시청,2024-01-01
시도,안암로,서울특별시 동대문구 안암로,대광고교R~고려대역,82,63,,,서울특별시청,2024-01-01
시도,겸재로,서울특별시 동대문구 겸재로,휘경여중R~겸재교,34,28,,,서울특별시청,2024-01-01
시도,장한로,서울특별시 동대문구 장한로,장한평역~장안동삼거리,178,96,,,서울특별시청,2024-01-01
구도,장안벚꽃로,서울특별시 동대문구 장안벚꽃로,군자지하차도~장안지하차도,254,119,278,15,서울특별시 동대문구청,2024-01-01
구도,정릉천동로,서울특별시 동대문구 정릉천동로,정릉천교~제기로,93,56,,,서울특별시 동대문구청,2024-01-01
구도,황물로,서울특별시 동대문구 황물로,답십리굴다리~자동차부품상가,121,94,,,서울특별시 동대문구청,2024-01-01
구도,휘경로,서울특별시 동대문구 휘경로,외국어대학교앞~한천로,67,40,150,,서울특별시 동대문구청,2024-01-01
구도,외대역동로,서울특별시 동대문구 외대역동로,휘경2주민센터~이문고가차도,43,22,,,서울특별시 동대문구청,2024-01-01
구도,장한로12길,서울특별시 동대문구 장한로12길,장한로~장한로12길89,21,9,,,서울특별시 동대문구청,2024-01-01
구도,한천로14길,서울특별시 동대문구 한천로14길,한천로62~장한로12길,21,13,,,서울특별시 동대문구청,2024-01-01
구도,신이문로,서울특별시 동대문구 신이문로,이문삼거리~신이문역,39,16,,,서울특별시 동대문구청,2024-01-01
구도,약령시로,서울특별시 동대문구 약령시로,안암오거리~미주삼거리,72,49,,,서울특별시 동대문구청,2024-01-01
구도,경희대로,서울특별시 동대문구 경희대로,경희대삼거리~경희대,20,,,,서울특별시 동대문구청,2024-01-01
구도,망우로21길,서울특별시 동대문구 망우로21길,삼육병원앞R~망우로317,19,18,,,서울특별시 동대문구청,2024-01-01
구도,하정로,서울특별시 동대문구 하정로,신설동역8번출구~동대문등기소,11,,,,서울특별시 동대문구청,2024-01-01
구도,천호대로47길,서울특별시 동대문구 천호대로47길,신답초교~신답경남아파트101동,24,22,28,,서울특별시 동대문구청,2024-01-01
구도,한천로58길,서울특별시 동대문구 한천로58길,이문파출소~석계초교,64,29,,,서울특별시 동대문구청,2024-01-01
구도,한천로66길,서울특별시 동대문구 한천로66길,동부지하차도~성북구경계,8,4,308,51,서울특별시 동대문구청,2024-01-01
구도,고산자로28길,서울특별시 동대문구 고산자로28길,동대문홈플러스~동대문구청,7,7,,,서울특별시 동대문구청,2024-01-01
구도,홍릉로,서울특별시 동대문구 홍릉로,청량리역~세종대왕기념관R,90,64,,,서울특별시 동대문구청,2024-01-01
구도,신이문지하보차도,서울특별시 동대문구 신이문지하보차도,이문3동 170~173,,,74,,서울특별시 동대문구청,2024-01-01
구도,독구말지하보차도,서울특별시 동대문구 독구말지하보차도,이문1동 138~116,,,46,,서울특별시 동대문구청,2024-01-01
구도,전농로10길,서울특별시 동대문구 전농로10길,답십리2동 110~203,64,45,,,서울특별시 동대문구청,2024-01-01
구도,답십리로56길,서울특별시 동대문구 답십리로56길,답십리로56길,9,2,,,서울특별시 동대문구청,2024-01-01
구도,천호대로45길,서울특별시 동대문구 천호대로45길,신답철교~답십리로,20,20,,,서울특별시 동대문구청,2024-01-01
구도,이문로54길,서울특별시 동대문구 이문로54길,이문로종점~한천로종점,17,14,,,서울특별시 동대문구청,2024-01-01
구도,황물로15길,서울특별시 동대문구 황물로15길,두산A107~전농로4길,9,,,,서울특별시 동대문구청,2024-01-01
구도,장한로18길,서울특별시 동대문구 장한로18길,현대홈타운A120~장안벚꽃길,8,,,,서울특별시 동대문구청,2024-01-01
구도,전농로3길,서울특별시 동대문구 전농로3길,전농로~답십리초교,20,20,,,서울특별시 동대문구청,2024-01-01
구도,사가정로2길,서울특별시 동대문구 사가정로2길,답십리16구역,18,18,,,서울특별시 동대문구청,2024-01-01
구도,사가정로4길,서울특별시 동대문구 사가정로4길,답십리16구역,32,32,,,서울특별시 동대문구청,2024-01-01
구도,청량리역고가차도,서울특별시 동대문구 청량리역고가차도,서울시립대로~청량리역,80,45,,,서울특별시 동대문구청,2024-01-01
구도,경동시장로,서울특별시 동대문구 경동시장로,청과물시장입구~제기로,60,37,,,서울특별시 동대문구청,2024-01-01
구도,회기지하보도,서울특별시 동대문구 회기지하보도,외대역동로5길~회기로31길,,,,33,서울특별시 동대문구청,2024-01-01
구도,답십리로35길,서울특별시 동대문구 답십리로35길,답십리로~서울시립대로12길,22,15,,,서울특별시 동대문구청,2024-01-01
구도,서울시립대로12길,서울특별시 동대문구 시립대로12길,서울시립대로~사가정로,17,12,,,서울특별시 동대문구청,2024-01-01
구도,왕산로26길,서울특별시 동대문구 왕산로26길,정릉천동로~롯데캐슬(아),8,,,,서울특별시 동대문구청,2024-01-01
구도,답십리로45길,서울특별시 동대문구 답십리로45길,답십리래미안미드카운티,13,,,,서울특별시 동대문구청,2024-01-01
구도,무학로45길,서울특별시 동대문구 무학로45길,용두래미안엘리니티,19,19,,,서울특별시 동대문구청,2024-01-01
구도,한빛로,서울특별시 동대문구 한빛로,강북세우간~신설동역R,26,26,,,서울특별시 동대문구청,2024-01-01
