 5-1. 노선별 가로등 시설현황(시도),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ [(형태 : 마주보기-A, 지그재그-B, 한쪽-C, 중앙-D) (등주type : 원형-R, 팔각-E, STS-S, AL-A,) (표기 예시)알미늄재질원형 10m Y주 암2.5m=AR10Y-25 ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ 설치년도,광원,용량,형태,배전방식,등주타입 등이 다를때에는 다음 칸을 이용(같은 칸에서 Alt Enter 키 이용금지)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ 도로연장은 편측설치, 양측설치를 구분하고 실제 도로연장만 기재(가로등 설치연장 자동계산 됨)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ○ 교량하부등은 각종 하부통과도로 상에 있는 조명을 뜻하며 교량점검용 조명은 제외할 것 ,,,,,,,,,,,,," 6,756 ","1,205 "," 7,961 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"도로
구분","노선
번호",노선명,구 간,"노폭
(m)",도로연장(m),,"가로등
설치연장","설치
년도","조도
(lx)","경간
(m)",형태,"선로
배전
방식", 차도등 ,,,,보행등,,,"육교수
(개소)
/
등수",,,,교량하부등,,,터널등,,,,,지하(보)차도등,,,,,지하보도등,,,경관조명,,,"분전함
(수량)",비고
,,,,,편측,양측,,,,,,,등주type,본수,광원,등수,본수,광원,등수,"육교
(개소)",본수,광원,등수,"하부
(개소)",광원,등수,"터널
(개소)", 차도등 ,, 보행등 ,,"차도
(개소)", 차도등 ,, 보도등 ,,"보도
(개소)",광원,등수,"설치
(개소)",광원,등수,,
,,,,,,,(편+양×2),,,,,,,,,,,,,,,,,,,,,광원,등수,광원,등수,,광원,등수,광원,등수,,,,,,,,
시도,예시,00로,00~00,40,,"1,400 ","2,800 ",99,22,30,A,2,SR10-25,100 ,NH350,100 ,0 ,CDM70,30 ,1 ,10 ,CDM70,10 ,,,,1 ,NH400,"2,000 ",FL45,200 ,1 ,NA400,100 ,,,,NA250,50 ,,,,5 ,
,,〃,00~00,30,,"1,300 ","2,600 ",99,22,30,A,2,SR10-25,50 ,NA400,50 ,0 ,NH70,20 ,,,,,,,,,,,,,,,,,,,,,,,,3 ,
,,〃,00~00,40,50 ,"1,300 ","2,650 ",04,22,30,A,2,SR12Y-25,50 ,CDM250,100 ,0 ,NA100,20 ,2 ,20 ,CDM70,20 ,,,,,,,,,1 ,NA400,100 ,FL32,100 ,2 ,NA250,50 ,1 ,NA250,50 ,5 ,
,,〃,00~00,40,"1,300 ",,"1,300 ",04,22,30,C,3,SR12Y-28,40 ,NH350,50 ,2 ,CDM70,10 ,,,,,,NA400,60 ,,,,,,,,,,,,,,,,,2 ,
시도,계,,,,"12,430 ","51,550 ","115,530 ",,,,,,,"3,567 ",,"4,682 ",18 ,,"2,074 ",0 ,0 ,0 ,0 ,3 ,0 ,42 ,1 ,,20 ,0 ,5 ,2 ,0 ,28 ,0 ,0 ,4 ,0 ,"1,102 ",2 ,0 ,8 ,223 ,
,,강동대로,올림픽대교~동남로,55 ," 2,490 ","1,200 ","4,890 ",2004 ,30, 30 , B ,2,SR12-28, 88 , CDM250 , 93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,강동대로,올림픽대교~동남로,55 ,,,0 ,2006 ,30, 30 , B ,2,SR12-28, 24 , CDM250 , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,강동대로,올림픽대교~동남로,55 ,,,0 ,2004 ,30, 30 , B ,2,SR12-교차4, 1 , CDM250 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,강동대로,올림픽대교~동남로,55 ,,,0 ,2004 ,30, 30 , B ,2,SRY12-28, 31 , CDM250 , 62 ,,CDM70, 119 ,,,,,,,,,,,,,,,,,,,,,,,, 10 , 109 
,,강동대로,올림픽대교남단,55 ,,,0 ,2009,23,,C,2,,,,,,,,,,,,,,,,,,,,,,,,,1 ,LED40외,70 ,,,,1,5
,,강동대로,올림픽대교~동남로,55 ,,,0 ,2018,25,, B ,2,SR1Y-25, 5 ,LED150, 10 ,,LED25, 5 ,,,,,,,,,,,,,,,,,,,,,,,,,
